id,name,group_id
227,Anbau-Bodenfräse,34
228,Kehrgutsammelbehälter,35
229,Schneeräumschild,36
230,Anbau-Kehrmaschine,37
231,Anbau-Wildkrautbürste,37
232,Mähroboter-Kantenschneider,37
233,Anbau-Kehrbürste,37
234,Anbau-Schneefräse,37
235,Anfahrhilfe,38
236,Gripmatte,38
237,Angel-Gaff,39
238,Schleppblei,40
239,Sbirolino,40
240,Senklot,40
241,Tiroler Hölzl,40
242,Tropfenblei,40
243,Inlineblei,40
244,Strömungsblei,40
245,Heringsblei,40
246,Kugelblei,40
247,Drop-Shot-Blei,40
248,Tellerblei,40
249,Brandungsblei,40
250,Karpfenblei,40
251,Lotblei,40
252,Walkerblei,40
253,Sargblei,40
254,Birnenblei,40
255,Patronenblei,40
256,Olivenblei,40
257,Bleischrot,40
258,Angelgewicht,40
259,Dropshot-Haken,41
260,Zwillingshaken,41
261,Drillingshaken,41
262,Karpfenhaken,41
263,Schonhaken,41
264,Aalhaken,41
265,Ryderhaken,41
266,Wurmhaken,41
267,Kreishaken,41
268,Stipphaken,41
269,Offset-Haken,41
270,Butthaken,41
271,Forellenhaken,41
272,Fliegenhaken,41
273,Jighaken,41
274,Feederhaken,41
275,Teighaken,41
276,Twinex-Haken,41
277,Wallerhaken,41
278,Forellenpose,42
279,Stabpose,42
280,Unterwasserpose,42
281,Allroundpose,42
282,Knicklichtpose,42
283,Wasserkugel-Pose,42
284,Stipppose,42
285,Raubfischpose,42
286,Wagglerpose,42
287,Friedfischpose,42
288,Elektropose,42
289,Schlepppose,42
290,Futterpose,42
291,Segelpose,42
292,Freilaufrolle,43
293,Kapselrolle,43
294,Trollingrolle,43
295,Fliegenrolle,43
296,Kampfbremsrolle,43
297,Feederrolle,43
298,Meeresrolle,43
299,Multirolle,43
300,Baitcastrolle,43
301,Stationärrolle,43
302,Spinnrolle,43
303,Reiserute,44
304,Pickerrute,44
305,Forellenrute,44
306,Eisrute,44
307,Grundrute,44
308,Karpfenrute,44
309,Matchrute,44
310,Brandungsrute,44
311,Feederrute,44
312,Aalrute,44
313,Kopfrute,44
314,Spinnrute,44
315,Pilkrute,44
316,Stipprute,44
317,Fliegenrute,44
318,Baitcasterrute,44
319,Jigrute,44
320,Posenrute,44
321,Bologneserute,44
322,Anhängerkupplung,45
323,Tandemstange,45
324,Anrufbeantworter,46
325,Analoger Anrufbeantworter,46
326,Ansteckplatte,47
327,Anbautisch,47
328,Eckverbindungsplatte,47
329,Einlegetischplatte,47
330,Wandpuffer,48
331,WC-Sitz Puffer,48
332,Anschlagpuffer,48
333,Magnet-Schweißwinkel,49
334,Schweißwinkel-Set,49
335,Flachwinkel,49
336,Messwinkel,49
337,Schreinerwinkel,49
338,Anschlagwinkel,49
339,Zimmermannswinkel,49
340,Schlosserwinkel,49
341,Anspitzer,50
342,Stabantenne,51
343,Camping Sat-Anlage,51
344,Mobilfunkantenne,51
345,Autoradio-Ersatzantennenstab,51
346,Wurfantenne,51
347,WLAN-Antenne,51
348,Autoradio-Scheibenantenne,51
349,Schiffsantenne,51
350,Innenantenne,51
351,Dachantenne,51
352,Anti-Rutsch-Pad,52
353,Filzgleiter,52
354,Surfboard Footpad,52
355,Windsurf Footpad,52
356,Stuhlsocke,52
357,Plattentellerauflage,52
358,Schnarchstopper,53
359,Schnarchgurt,53
360,Schnarchmaske,53
361,Zahnschiene,53
362,Nasenspreizer,53
363,Abgastemperaturanzeige,54
