id,group_id,name,type,description,multi_value,relevance,unit
84118,1721,Batt-Reg.-Nr. DE,INTEGER,EAR-Registrierungsnummer zur BattVO,f,LOW,""
84119,1721,Geräteart laut ElektroG,STRING,"ElektroG (Elektro- und Elektronikgerätegesetz): Gesetz über das Inverkehrbringen, die Rücknahme und die umweltverträgliche Entsorgung von Elektro- und Elektronikgeräten",f,LOW,""
84120,1721,Marke laut BattVO,STRING,Abweichender Markenname in der EAR-Datenbank,f,LOW,""
84121,1721,Marke laut ElektroG (EAR),STRING,Abweichender Markenname in der EAR-Datenbank,f,HIGH,""
84122,1721,Relevanz Gefahrgut,STRING,"Mit diesem Merkmal soll eine generelle Aussage getroffen werden, ob der Artikel unter die Gefahrgutvorschriften fällt oder nicht.",f,LOW,""
84123,1721,CLP-Gefahrenpiktogramm,STRING,Wenn das Produkt unter die Verordnung (EG) Nr. 1272/2008 (CLP) fällt (siehe auch Relevanz CLP-Pflicht) benötigt es ein Gefahrenpiktogramm in der Auslobung im Shop. Dieses findet sich auf dem zum Produkt gehörenden Sicherheitsdatenblatt.,t,LOW,""
84124,1721,Farbe,STRING,Farbe,f,HIGH,""
84125,1721,Material,STRING,Material,f,HIGH,""
84126,1721,Oberflächenoptik,STRING,"",f,HIGH,""
84127,1721,Oberflächenbehandlung,STRING,"",f,LOW,""
84128,1721,Oberflächenbeschichtung,STRING,"",f,LOW,""
84129,1721,Grundfarbe,STRING,Grundfarbe,f,HIGH,""
84130,1721,Warnhinweise,STRING,"Wählen Sie einen oder mehrere Warnhinweise aus der Liste aus, die in gleicher Form auch am Produkt angebracht sind (häufig bei Spielwaren zu finden).",t,LOW,""
84131,1721,Lieferzustand Batterien / Akkus,STRING,"Geben sie bitte an, ob sich Akkus oder Batteries im Gerät oder in der Verpackung befinden bzw. diese festverbaut sind.",t,LOW,""
84132,1721,Gefahrenhinweise,STRING,"Wenn das Produkt unter die Verordnung (EG) Nr. 1272/2008 (CLP) fällt, befinden sich auf dem dazugehörigen Sicherheitsdatenblatt die sogenannten H-Sätze. Bitte alle Gefahrenhinweise auswählen die zum Produkt gehören, damit sie dem Kunden vor dem Kauf angezeigt werden können.",t,LOW,""
84133,1721,Sicherheitshinweise,STRING,"Wenn das Produkt unter die Verordnung (EG) Nr. 1272/2008 (CLP) fällt, befinden sich auf dem dazugehörigen Sicherheitsdatenblatt die sogenannten P-Sätze. Bitte alle Sicherheitshinweise auswählen die zum Produkt gehören, damit sie dem Kunden vor dem Kauf angezeigt werden können.",t,LOW,""
84134,1721,Signalwort,STRING,"Wählen Sie hier das entsprechende Signalwort aus welches auf dem Sicherheitsdatenblatt des Produktes aufgeführt ist. Gilt nur für Produkte, die unter die CLP Verordnung fallen. Diese Information muss dem Kunden vor dem Kauf mitgeteilt werden.",f,LOW,""
84135,1721,Bedingte Herstellergarantie,STRING,Garantien auf Teilbereiche des Produktes oder unter bestimmten Bedingungen,f,LOW,""
